,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
925,8.974,0,False,/jDz2UIKmFZ7a3casxKmDQ4XrbDa.jpg,748911,False,/hM8QiiNSgHRtuz7lmy1biZ16lXS.jpg,en,537 Votes,[99],537 Votes,0.0,"Documentary chronicling the political machinations that led to the unprecedented, contested outcome of the 2000 presidential election, including the chaotic voter recount in Florida that ended with George W. Bush winning by a razor-thin margin.",2020-10-21
926,8.967,5,False,/mtI8XANncrLVNa5Uk6s5lpEXxGJ.jpg,652535,False,/ai0IQdJ0kVePM7NONAc3I8SLks3.jpg,no,Alle utlendinger har lukka gardiner,[18],Chica Chile Norway,5.6,"Mariana (15) is annoyingly in love with the school's badboy, Ali2, but he is occupied with the only blonde in Romsås.",2020-03-06
927,8.963,0,False,/eyZHI8q39sOA1j8GnlMM3cmwXQf.jpg,740467,False,,en,濁水漂流,[],Drifting,0.0,"Starring three Golden Horse Awards winner Francis Ng, Loletta Lee and Kwan-ho Tse.",2020-11-17
928,8.96,0,False,/nVhVatSJtg5vaP4gcUPjZgGbKZ6.jpg,759477,False,/lnCW1buTHu6fBqGoGOnmjmAPGwr.jpg,en,The Illustrator,[18],The Illustrator,0.0,"In a post-apocalyptic Miami, a young woman clashes with her secretive and enigmatic boss in a divided America where one totalitarian political party reigns.",2020-07-20
929,8.954,13,False,/215gB2hfmSZFfdg9dIzIUD87QBg.jpg,575426,False,/cHi41wtg8PzDzrxzcyBoQYPxUAQ.jpg,en,Tommaso,[18],Tommaso,6.2,"Playing opposite the director’s own wife and daughter, Willem Dafoe is a Ferrara-like American artist living in Rome in this improvised drama of doubt and disconnection, shot in self-reflective documentary style.",2020-01-08
930,8.942,3,False,/4GK7HVyiZtulS75NO8CXj1pVkj7.jpg,576727,False,,en,All Roads to Pearla,"[18, 53]",All Roads to Pearla,5.3,A Texas town awakes when a high school wrestler gets entangled with a drifter and her psychopathic lover. Lives then intertwine and spiral violently out of control once he becomes her escort driver.,2020-09-25
931,8.935,0,False,/iJA8WjWQOvaznRoRAk7UOLh2Xo9.jpg,731862,False,,ja,ドクター・デスの遺産 BLACK FILE,[],The Legacy of Dr. Death: Black File,0.0,"A series of suspicious death cases take place. All the victims were terminal patients. Detective Hayato Inukai (Gou Ayano) and Detective Asuka Takachiho (Keiko Kitagawa) investigate the case. Through their investigation, they learn of a person known as ""Dr. Death."" He performs euthanasia by request. Meanwhile, Detective Hayato Inukai’s daughter Sayaka requests the help of Dr. Death. Sayaka suffers from a severe kidney disease.",2020-11-13
932,8.931,102,False,/xEbSztKAAwIljX8A537HeZDKXUS.jpg,605735,False,/5xYyXBhcRfXmZMQ9gCr0a4W2lpu.jpg,fr,10 jours sans maman,"[35, 10751]",10 Days Without Mum,5.9,"Antoine is the Head of HR of a big company. Managing people is his thing, so when his overwhelmed wife suddenly decides to go on holiday and leave him with the responsibility of the house and their four kids, he knows it will be a piece of cake for him. But Antoine has drastically underestimated the mess that four mischievous kids can cause...",2020-02-19
933,8.921,0,False,/Al2CeTZyVFJxpeekRQQ5oJ9pq9a.jpg,661914,False,/6n68tfFGHc93ZVFAOAAg262AIgs.jpg,en,One Night in Miami...,[18],One Night in Miami...,0.0,"In the aftermath of Cassius Clay's defeat of Sonny Liston in 1964, the boxer meets with Malcolm X, Sam Cooke and Jim Brown to change the course of history in the segregated South.",2020-12-25
934,8.909,8,False,/wNNAGw2TsYW4c3if252c6Il1fEc.jpg,662659,False,/rXAPJmWafotXuD1NBj8XcZc6FFq.jpg,en,Marionette,[53],Marionette,6.6,A therapist loses her grip on reality when a ten-year-old boy claims he can control her future.,2020-09-19
935,8.908,0,False,/8ePU7cOFu71xtjBRfsuSMbiTFUE.jpg,583757,False,/3lctQ3EAif0NfcWitzSgfqMQGqV.jpg,en,Princess of the Row,[18],Princess of the Row,0.0,"The inspiring tale of a runaway foster child who will stop at nothing to live with the only family she knows: her homeless, mentally-ill veteran father who lives on the streets of LA's skid row.",2020-11-27
936,8.904,1,False,/izaYZ85Tda1dNXxnixpWzHbElox.jpg,662212,False,,en,Impact Wrestling: Hard to Kill,[],Impact Wrestling: Hard to Kill,2.0,"On January 12th, IMPACT Wrestling invades The Bomb Factory in Dallas, Texas for HARD TO KILL, a historic night as a woman challenges for the World Championship live on pay-per-view for the first time when IMPACT World Champion Sami Callihan puts his title on the line against third-generation superstar Tessa Blanchard.",2020-01-12
937,8.878,1,False,/yNM4N9hBO97K3Fj4jpkuudoT7I3.jpg,579828,False,/mp3MQQrowNTbrJHfIcWE95tt9ew.jpg,ru,Кольская сверхглубокая,"[27, 878, 53]",Superdeep,9.0,"The film is based on real events when, in the 1970s, the deepest well in the world with a depth of more than 12 thousand meters was drilled in Murmansk Region for research purposes. During drilling, seismic sensors began to pick up strange sounds, an explosion occurred that led to mystical events.",2020-11-04
938,8.873,1,False,/5OMSt8YlxYiYacTEo129a1T2yG4.jpg,743032,False,/5yqV1Ty9DLSuLE3d2xxHTUumc0Q.jpg,en,Conjuring the Devil,[27],Conjuring the Devil,7.0,A woman who is struggling with the conflict between her faith and her personal life must defend herself against the spirit of a demonic nun who is bent on destroying her.,2020-09-15
939,8.872,0,False,,592656,False,/3CHn1rXHOLTsE4BbYIXkDNuyPOh.jpg,en,The Sound of Philadelphia,"[28, 80, 18]",The Sound of Philadelphia,0.0,"Peter and Michael, raised on the streets of Philadelphia, are the children of Irish mob members, forever linked by the crimes of their fathers. 30 years later, Michael now runs the criminal organization and lusts for more power, his dangerous antics frequently held in check by his cautious cousin Peter. Haunted by the death of his sister, whose passing destroyed both his parents, Peter is caught between the dreams of childhood and the realities of his life as an enforcer. His only reprieve is a local boxing gym, a sanctuary that is quickly threatened as Michael’s desire for control escalates.",2020-12-30
940,8.868,22,False,/bYHxq8yNLTr7LZP2wBjpMPkW6EV.jpg,646453,False,/gsS1FO4yWMlhrxcDQNVTNzmZoUm.jpg,en,Ana,"[35, 18]",Ana,6.4,"Ana meets Rafa in a chance encounter and they embark on a road trip to try and save him from bankruptcy, or worse.",2020-01-03
941,8.862,8,False,/3B2twt8I02cLAPHG6dkDpTFbgz5.jpg,521531,False,/cIDxxc1c3gGniFq2ZxwBSm70KP1.jpg,en,Followed,"[27, 9648, 53]",Followed,3.5,"To gain more subscribers, a controversial vlogger stays at a cursed hotel with terrifying results.",2020-06-26
942,8.851,0,False,/3TEjRuHOBlr0RMgJvgCsCxnE6c4.jpg,752202,False,/2iw1XFxguRwvZ4MG4seQ5UqdVL5.jpg,id,Nona,"[18, 12]",Nona,0.0,Nona and Ogy are friend and got into the friend zone relationship. Nona and Ogy search for the place where Noah's ark was stranded Towards the dream place. Nona's trip to Azerbaijan was not as smooth as planned.,2020-11-06
943,8.837,2,False,/ryDFqo0OD5SbBH61jgENvpzeaQU.jpg,754504,False,,en,Happy Halloween: A Halloween Kills Fan Film,[27],Happy Halloween: A Halloween Kills Fan Film,6.0,"In this lost scene from Halloween 2018, a police officer, a trick-or-treater and three high school friends have a deadly encounter with THE SHAPE.",2020-10-16
944,8.816,1,False,/iVWrkSZLElmalaJiA9e72xeY2w5.jpg,541483,False,/auhyPypDPnQw4bWBe9pTtoX3nkv.jpg,en,Measure for Measure,"[18, 53]",Measure for Measure,4.0,"An improbable love affair flares up between Karima, a modern Muslim girl, and Claudio, a local musician, in Melbourne's most notorious housing estate, where ruthless gangs rule, drug abuse spreads and racial tension grows.",2020-09-03
945,8.804,2,False,/woOQx1s4mNVAprRpky3ntRgdlf4.jpg,579400,False,/5NUzfzdMzdHULAlk4ynrMP5vIrR.jpg,en,Stardust,[18],Stardust,4.3,"David Bowie went to America for the first time to promote his third album, The Man Who Sold the World. There, he embarked on a coast-to-coast publicity tour. During this tour, Bowie came up with the idea of his iconic Ziggy Stardust character, inspired by artists like Iggy Pop and Lou Reed.",2020-10-16
946,8.781,0,False,/6WTseQHJseAvBEBGb7jC5IPLGPu.jpg,570871,False,/bpHqw9vvpHCTOiBzMhBjBe5MQoD.jpg,de,Das Letzte Land,"[18, 878, 14]",Final Voyage,0.0,"Two dissimilar men in a small, old spaceship set off in search of a new home.",2020-12-03
947,8.773,0,False,,744958,False,,en,A Christmas Break,[],A Christmas Break,0.0,"School teacher Addison Tate (Cindy Sampson) wants this Christmas to be special for her kids especially since the School Board has decided that it will be the last as the school will be closing. When Addison meets Danny (Steve Byers), a Hollywood actor home to reconnect with his roots, on a Christmas tree lot, sparks fly, uniting the two to save the school from closing right before Christmas Eve.",2020-12-20
948,8.764,85,False,/e6m9bwuwj6zluvkZgzP5gFSnRyB.jpg,651881,False,/5ohfcoKVccR6NKzssMd89s3kFn6.jpg,fr,Adieu les cons,"[35, 18]",Bye Bye Morons,7.7,"When 43-year-old hairdresser Suze Trappet finds out that she's seriously ill, she decides to go looking for a child she was forced to abandon when she was only 15. On her madcap bureaucratic quest she crosses paths with JB, a 50-year-old man in the middle of a burnout, and Mr. Blin, a blind archivist prone to overenthusiasm. The unlikely trio set off on a hilarious and poignant helterskelter journey across the city in search of Suze's long-lost child.",2020-10-09
949,8.741,1,False,/wl3n7bmq3k1mOfuf0pz6sxigMNr.jpg,706260,False,/cTmingfZgYdWonE3AqZ1FAxCPvz.jpg,en,Adam,[18],Adam,7.0,A hard-living salesman becomes a quadriplegic after an accident.,2020-10-15
950,8.734,1,False,/ul6WXKIvCj3XKScRkySN1GI1Zw8.jpg,740846,False,/mFlceIrcfrh7nUrrV8Hu7X3Cuvc.jpg,en,Ultraviolence,[],Ultraviolence,7.0,"15 years after Ken Fero’s ground-breaking film Injustice, which examined deaths in police custody, comes a compelling follow-up that feels as timely as ever.",2020-10-12
951,8.716,3,False,/vWGkIHeCLw9wWvPXnPTOM9d5GiK.jpg,602654,False,,en,Horizon Line,[53],Horizon Line,4.7,A couple flying on a small plane to attend a tropical island wedding must fight for their lives after their pilot suffers a heart attack.,2020-10-29
952,8.708,0,False,/1zAdLzy5bJWtkuaWxMgNvU43wct.jpg,674773,False,,en,The Unknown Eye,"[18, 53, 10749]",The Unknown Eye,0.0,A man tries to navigate a deteriorating relationship with his girlfriend as his life is terrorized by a mysterious Stalker.,2020-11-15
953,8.703,7,False,/mMICdcRBxiEUUpdAFCYRezE3Dy5.jpg,523781,False,/q7z2kKGeAfkKQx6cmb4pFcEEkME.jpg,en,Words on Bathroom Walls,[18],Words on Bathroom Walls,3.5,"The story follows a student navigating high school life while living with paranoid schizophrenia and battling wild hallucinations. An experimental drug trial promises to help hide his illness from his peers and, most importantly, from the girl of his dreams.",2020-08-21
954,8.686,5,False,/7Rk7t9K2V3nzUTwfdugw1yOVnHN.jpg,728069,False,/yynMZgdeQmO0K1jF0pOUrKBHkYV.jpg,en,Shark Season,"[53, 28]",Shark Season,3.2,"Dozens of great white sharks attack the sleepy coastal town of Goldcoast, CA, resulting in several deaths and forcing the town council to bring in a group of marine biologists and shark hunters to solve the problem. But when one shark in particular refuses to go down without a fight, it will take all of the biologists’ and hunters’ knowhow to defeat the creature for good.",2020-07-28
955,8.683,16,False,/9NZdljsmvWcAGyPqzKgmdLvn97t.jpg,526052,False,/bQyIraUca3iOQYUJaGXueYBfuO9.jpg,en,Becoming,"[18, 878, 53]",Becoming,4.8,"A couple on a road trip through America encounter a terrifying dark force older than the country itself. An evil that transforms loved ones into someone terrifying, the entity has left a trail of murdered families going back hundreds of years.",2020-04-16
956,8.682,0,False,/Aiv8DHchtT15BFZxYgUjwgqvEED.jpg,611598,False,/q6xxYc9NTf3AKGXvEakjtkqwSxX.jpg,hi,Prithviraj,[],Prithviraj,0.0,"A biopic on legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyukta & clashes with Muhammad of Ghor, a ruler of the Muslim Ghurid dynasty who led the Islamic Conquest of Hindustan.",2020-11-13
957,8.636,21,False,/snkeg0NgURfXRbrnndoC6N0nBF3.jpg,633182,False,/v9Aymu7w0CmS3BXVRsS6Yjreceh.jpg,de,Freies Land,"[18, 53]",Free Country,6.8,"Former East Germany, 1992. Patrick Stein and Markus Bach, two very different police officers, are commissioned to investigate the disappearance of two female teenagers in a remote area of the country. Did they run away from home or did something more terrible happen to them?",2020-01-09
