budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count
0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",433627.0,tt5466186,en,7 Days in Entebbe,37.787,2018-03-15,9196740.0,107.0,7 Days in Entebbe,5.8,273.0
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",567970.0,tt3111426,en,Lost Girls,37.763000000000005,2020-03-13,0.0,95.0,Lost Girls,6.1,397.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",533715.0,tt7403614,ru,Большое путешествие,32.584,2019-04-27,0.0,84.0,The Big Trip,7.4,38.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",581997.0,tt9775360,en,Batman vs. Teenage Mutant Ninja Turtles,38.643,2019-03-31,0.0,84.0,Batman vs. Teenage Mutant Ninja Turtles,7.1,247.0
50000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",8920.0,tt0356634,en,Garfield,35.861999999999995,2004-06-10,200804534.0,80.0,Garfield,5.6,2641.0
69000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",72331.0,tt1611224,en,Abraham Lincoln: Vampire Hunter,38.364000000000004,2012-06-20,116471580.0,94.0,Abraham Lincoln: Vampire Hunter,5.6,2371.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]",73245.0,tt1785394,ja,劇場版 BLEACH 地獄篇,41.348,2010-12-04,0.0,103.0,Bleach the Movie: Hell Verse,6.9,65.0
29000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",254470.0,tt2848292,en,Pitch Perfect 2,38.292,2015-05-07,287506194.0,115.0,Pitch Perfect 2,6.9,4318.0
60000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",39538.0,tt1598778,en,Contagion,37.188,2011-09-08,137551594.0,106.0,Contagion,6.6,4135.0
159000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",398978.0,tt1302006,en,The Irishman,36.279,2019-11-01,8000000.0,209.0,The Irishman,7.7,4113.0
