,popularity,id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids,backdrop_path,adult,overview,poster_path
9538,0.875,633193,False,0,0.0,The Desolation Prize,2019-03-23,en,The Desolation Prize,[27],/a1pSeC5hdbJ63MxP8A4IKCAhviF.jpg,False,"With only the ghost of the man he killed years before to keep him company, Jake lives an isolated life. He rarely goes outside, and his groceries are delivered to him. Fearful that this unwanted spirit will continue to humiliate and terrorize him in public, he has structured his life around a lonely and bleak existence. Eventually, his dark situation is illuminated by the arrival of Bobbi, a fresh-faced prairie girl whose job it is to deliver him groceries.",/quhqhcMbos41S7A3LD2mBZwZxiH.jpg
9539,0.875,624379,False,0,0.0,Hunt In Red,2019-06-26,en,Hunt In Red,[53],,False,Two teens trying to escape the grips of a cannibalistic hunter in an apocalyptic Australian outback.,/6XTmrqhHHR4BU0SvilkMwqAU2AG.jpg
9540,0.875,623379,False,0,0.0,FragMANts,2019-05-04,en,FragMANts,[],/iLFASG9u656KRDO33niLeR2eRqn.jpg,False,"Karl Marx calls commodity fetish in his main work Capital the quasi-religious material relationship to products that people produce for each other in division of labour or social work. The term fetish is used to describe the attribution of qualities or powers to things that they do not possess by nature. Already in Marx' time the term fetish was used primarily in connection with animistic religions. The people in the video Fragmants worship their consumer goods like religious cult objects. The religion venerated here is that of capitalism, which reveals itself to be superficial and meaningless. The believers of this religion are only uprooted fragments of themselves.",/ymBMQDpIoz1GvMa9sFk9Gk3lc8x.jpg
9541,0.875,613660,False,0,0.0,"By the people, for the people",2019-05-01,pt,Casa do Povo,[99],/oT1scyRIhTyk6Cd537coIZKGlry.jpg,False,"The soccer stadium Arena Corinthians was constructed in São Paulo’s Itaquera district, approximating the club structures to the biggest stronghold of its fans. Through filming the official tour at the arena and interviewing Corinthians soccer team supporters that live on its margins, the film shows the dubious relation that takes place between them.",/o948LoCjQXopRNq3yMFUevbLOko.jpg
9542,0.875,609761,False,0,0.0,Video 80,2019-06-25,en,Vídeo 80,"[35, 18]",/fiSw5lxySC2izd9bwHIBkqXkjJ4.jpg,False,"Mauro is the proud owner of a ""Video 80"", a video rental shop that used to be a big hit in the 80's, now empty and forgotten. On what would be the store's last day, someone finally appears - but it is not exactly what Mauro expected.",/aGoreTAcTooyNDeLEpBV6PIWXUn.jpg
9543,0.875,608418,False,0,0.0,We Intend to Cause Havoc,2019-05-08,en,We Intend to Cause Havoc,[99],,False,"The film follows the 21st Century formation of WITCH (We Intend To Cause Havoc) Zambia's most popular rock band of the 1970s, and documents the life of its lead singer, Jagari, whose name is an Africanisation of Mick Jagger's. Through the resurrection of a music that was forgotten by many and unheard by most, the film explores the life of a former African rock-star, and the excitement around the rediscovery of his music by Western fans, many of whom had yet to be born when his last album was released.",/tlGwq7xlMzWY1trFB3H6hAU5JCW.jpg
9544,0.875,606245,False,0,0.0,New Flight To Solaris,2019-06-15,ru,Новый полет на Солярис,[99],/pHVfGXtLLGksO3DD8dzLvUFXLRZ.jpg,False,"The editing film poem of Irakli Kvirikadze, inspired by the legendary fates and creative discoveries of Andrei Tarkovsky and his congenial artists of the “Soviet Renaissance”. The film tells about the project of the Museum AZ, presented in the Franco Zeffirelli Foundation in Florence. The project was a visual poetic dedication to Andrei Tarkovsky and his contemporaries - non-conformist artists.",
9545,0.875,603751,False,0,0.0,Please Leave,2019-05-09,en,Please Leave,[],/6WF89x4S61hKOb528CNmqiL0oUo.jpg,False,"Because when you're in here, you're not out there. Where life happens. Where inspiration comes from. That's why everything we design makes the most of your time. So you can bring ideas to life. And then get back to yours.",/4C46p2FnqPsVi7HqZHjbVgSJ4u5.jpg
9546,0.875,601871,False,0,0.0,Shot Reverse Shot,2019-05-03,ko,Shot Reverse Shot,[],,False,"An experimental installation inspired by the shot and reverse shot, one of the basics methodologies of cinema. The audiences follow the path designed by Jang to see the images, and simultaneously they are also recorded by a hidden camera in the reverse angle. This embodies the concept “gaze of gaze.” The film was shot in three different places to capture the atmosphere of DMZ. The installation consists of two-channel projections, CCTV cameras, and objects representing the DMZ.",/eBsHzSTkMdSrDRSuDOAvfOLISac.jpg
9547,0.875,600750,False,0,0.0,Love; Life,2019-04-10,tl,Love; Life,"[10749, 18]",/gdKdpIcxbbBzh8EB69jxyGqclfA.jpg,False,Everything happens for a reason. Your pain now can be the blessing of your lifetime… Love; Life…,/9tmXp1rDKTfYtInvNRkDe5D0o3R.jpg
9548,0.875,600434,False,0,0.0,Rebound,2019-04-30,en,Rebound,[],,False,Part two of Bounce,
9549,0.875,595729,False,0,0.0,Close Quarters,2019-06-14,en,Close Quarters,[],,False,"The finale of the Amateur Hour/Bad Company trilogy, directed by Matthew Angell. This film will rock your socks off",/xtG6g6z4vxMG8maifj7TG71F9ZK.jpg
9550,0.875,589701,False,0,0.0,A Moon for My Father,2019-03-25,fa,A Moon for My Father,[99],,False,"Mania Akbari collaborates with British sculptor Douglas White to coin a tender fusion of langauge, where a meeting of cinema and sculpture investigates the processes of physical and psychological destruction and renewal. Begun a matter of weeks after first meeting, the film charts a deepening artistic and personal relationship exploring the nature of skin, family, death, water, desire and, throughout, a powerful will to form. Akbari looks into the connection between her body and the political history of Iran, investigating the relationship between her own physical traumas and the collective political memory of her birthplace. As she undergoes surgeries on a body decimated by cancer, remembrance and reconstruction provide a framework for investigating how bodies are traumatised, censored and politicized, and yet ultimately remain a site of possibility.",/4ppyRv7uM7wC23qNNUvkfSzZVi0.jpg
9551,0.875,568986,False,0,0.0,Die Toten von Salzburg - Wolf im Schafspelz,2019-06-14,de,Die Toten von Salzburg - Wolf im Schafspelz,[80],,False,,
9552,0.875,505398,False,0,0.0,Vanishing Days,2019-03-26,zh,漫游,"[18, 9648]",/e9AeBR7EgGuLGpzHrmQsoUV1XaB.jpg,False,"A muggy summer of 2009, reality and memory tangled together, water from the canal soaked everyone in those vanishing days.",/bbvk9fJaiO522zGsGi1tA9UHeNW.jpg
9553,0.874,757846,False,2,5.5,Carpool Karaoke: Taron Egerton & Richard Madden,2019-03-22,en,Carpool Karaoke: Taron Egerton & Richard Madden,"[35, 10402]",/96RExDhtBZv3K5AW2mpQGToXUUz.jpg,False,"The Rocketman stars share some questionable London “facts” while belting along to Bowie, George Michael, and—of course—Elton John.",/aNcWFnuj4zxOrIHScgakzqdkZfI.jpg
9554,0.874,754259,False,0,0.0,Petrivka - requiem,2019-05-31,uk,Петрівка-реквієм,[16],,False,"Adventures of a disoriented subject under the chaotic decommunization. An instant of toposonic confusion when habitude is broken. The film was inspired by the official renaming of Petrivka station, which led to re-recording of all Kyiv metro announcements with a new voice, while the old one had gone for good.",/8Vo2247UNAr5wotr3VwytrtlryZ.jpg
